sample	chrom	start	end	maxP	lowP	highP	width	status
1	HanXRQChr01	78000000	79000000	1	0.97	1	0.03	P2
1	HanXRQChr01	79000000	80000000	0.87	0.82	0.92	0.1	P2
1	HanXRQChr01	80000000	81000000	0	0	0.09	0.09	P1
1	HanXRQChr01	81000000	82000000	0	0	0.01	0.01	P1
1	HanXRQChr01	82000000	83000000	0.14	0.08	0.22	0.14	P1
1	HanXRQChr01	83000000	84000000	0.44	0.36	0.52	0.16	admixed
1	HanXRQChr01	84000000	85000000	0.48	0.43	0.53	0.1	admixed
1	HanXRQChr01	85000000	86000000	0.43	0.37	0.48	0.11	P1
1	HanXRQChr01	86000000	87000000	0.44	0.35	0.53	0.18	admixed
1	HanXRQChr01	87000000	88000000	0.47	0.42	0.52	0.1	admixed
1	HanXRQChr01	88000000	89000000	0.48	0.44	0.52	0.08	admixed
1	HanXRQChr01	89000000	90000000	0.42	0.37	0.49	0.12	P1
1	HanXRQChr01	90000000	91000000	0.48	0.4	0.56	0.16	admixed
1	HanXRQChr01	91000000	92000000	0.46	0.37	0.56	0.19	admixed
1	HanXRQChr01	92000000	93000000	0.44	0.29	0.6	0.31	admixed
1	HanXRQChr01	93000000	94000000	0.48	0.39	0.57	0.18	admixed
1	HanXRQChr01	94000000	95000000	0.48	0.39	0.57	0.18	admixed
1	HanXRQChr01	95000000	96000000	0.45	0.39	0.52	0.13	admixed
1	HanXRQChr01	96000000	97000000	0.44	0.37	0.51	0.14	admixed
1	HanXRQChr01	97000000	98000000	0.46	0.39	0.53	0.14	admixed
1	HanXRQChr01	98000000	99000000	0.5	0.44	0.56	0.12	admixed
1	HanXRQChr01	99000000	100000000	0.53	0.43	0.63	0.2	admixed
1	HanXRQChr01	100000000	101000000	0.46	0.39	0.54	0.15	admixed
1	HanXRQChr01	101000000	102000000	0.42	0.35	0.49	0.14	P1
1	HanXRQChr01	102000000	103000000	0.45	0.36	0.54	0.18	admixed
1	HanXRQChr01	103000000	104000000	0.46	0.38	0.53	0.15	admixed
1	HanXRQChr01	104000000	105000000	0.45	0.37	0.52	0.15	admixed
1	HanXRQChr01	105000000	106000000	0.51	0.41	0.6	0.19	admixed
1	HanXRQChr01	106000000	107000000	0.48	0.41	0.55	0.14	admixed
1	HanXRQChr01	107000000	108000000	0.49	0.39	0.58	0.19	admixed
1	HanXRQChr01	108000000	109000000	0.5	0.45	0.56	0.11	admixed
1	HanXRQChr01	109000000	110000000	0.46	0.4	0.52	0.12	admixed
1	HanXRQChr01	110000000	111000000	0.47	0.4	0.53	0.13	admixed
1	HanXRQChr01	111000000	112000000	0.45	0.35	0.54	0.19	admixed
1	HanXRQChr01	112000000	113000000	0.41	0.35	0.47	0.12	P1
1	HanXRQChr01	113000000	114000000	0.46	0.41	0.52	0.11	admixed
1	HanXRQChr01	114000000	115000000	0.41	0.35	0.47	0.12	P1
1	HanXRQChr01	115000000	116000000	0.49	0.42	0.55	0.13	admixed
1	HanXRQChr01	116000000	117000000	0.55	0.42	0.68	0.26	admixed
1	HanXRQChr01	117000000	118000000	0.41	0.34	0.48	0.14	P1
1	HanXRQChr01	118000000	119000000	0.49	0.43	0.56	0.13	admixed
1	HanXRQChr01	119000000	120000000	0.49	0.4	0.58	0.18	admixed
1	HanXRQChr01	120000000	121000000	0.47	0.41	0.54	0.13	admixed
1	HanXRQChr01	121000000	122000000	0.49	0.43	0.56	0.13	admixed
1	HanXRQChr01	122000000	123000000	0.42	0.36	0.47	0.11	P1
1	HanXRQChr01	123000000	124000000	0.46	0.4	0.52	0.12	admixed
1	HanXRQChr01	124000000	125000000	0.46	0.4	0.53	0.13	admixed
1	HanXRQChr01	125000000	126000000	0.41	0.36	0.46	0.1	P1
1	HanXRQChr01	126000000	127000000	0.49	0.44	0.54	0.1	admixed
1	HanXRQChr01	127000000	128000000	0.44	0.37	0.5	0.13	admixed
1	HanXRQChr01	128000000	129000000	0.48	0.43	0.54	0.11	admixed
1	HanXRQChr01	129000000	130000000	0.48	0.4	0.55	0.15	admixed
1	HanXRQChr01	130000000	131000000	0.47	0.43	0.51	0.08	admixed
1	HanXRQChr01	131000000	132000000	0.47	0.41	0.53	0.12	admixed
1	HanXRQChr01	132000000	133000000	0.49	0.42	0.57	0.15	admixed
1	HanXRQChr01	133000000	134000000	0.34	0.29	0.4	0.11	P1
1	HanXRQChr01	134000000	135000000	0	0	0.01	0.01	P1
1	HanXRQChr01	135000000	136000000	0	0	0.01	0.01	P1
1	HanXRQChr01	136000000	137000000	0	0	0.01	0.01	P1
1	HanXRQChr01	137000000	138000000	0	0	0.02	0.02	P1
1	HanXRQChr01	138000000	139000000	0	0	0.01	0.01	P1
1	HanXRQChr01	139000000	140000000	0	0	0.01	0.01	P1
1	HanXRQChr01	140000000	141000000	0.44	0.36	0.52	0.16	admixed
1	HanXRQChr01	141000000	142000000	0.6	0.41	0.78	0.37	admixed
1	HanXRQChr01	142000000	143000000	0	
