sample	chrom	start	end	maxP	lowP	highP	width	status
1	HanXRQChr01	59000000	60000000	0	0	0.03	0.03	P1
1	HanXRQChr01	60000000	61000000	0	0	0.04	0.04	P1
1	HanXRQChr01	61000000	62000000	0	0	0.03	0.03	P1
1	HanXRQChr01	62000000	63000000	0	0	0.01	0.01	P1
1	HanXRQChr01	63000000	64000000	0	0	0.01	0.01	P1
1	HanXRQChr01	64000000	65000000	0	0	0.01	0.01	P1
1	HanXRQChr01	65000000	66000000	0	0	0.01	0.01	P1
1	HanXRQChr01	66000000	67000000	0	0	0.01	0.01	P1
1	HanXRQChr01	67000000	68000000	0	0	0.06	0.06	P1
1	HanXRQChr01	68000000	69000000	0	0	0.13	0.13	P1
1	HanXRQChr01	69000000	70000000	0	0	0.01	0.01	P1
1	HanXRQChr01	70000000	71000000	0	0	0.01	0.01	P1
1	HanXRQChr01	71000000	72000000	0	0	0.01	0.01	P1
1	HanXRQChr01	72000000	73000000	0	0	0.01	0.01	P1
1	HanXRQChr01	73000000	74000000	0	0	0.02	0.02	P1
1	HanXRQChr01	74000000	75000000	0	0	0.01	0.01	P1
1	HanXRQChr01	75000000	76000000	0	0	0.01	0.01	P1
1	HanXRQChr01	76000000	77000000	0	0	0.01	0.01	P1
1	HanXRQChr01	77000000	78000000	0	0	0.02	0.02	P1
1	HanXRQChr01	78000000	79000000	0	0	0.01	0.01	P1
1	HanXRQChr01	79000000	80000000	0.13	0.09	0.18	0.09	P1
1	HanXRQChr01	80000000	81000000	0.01	0	0.15	0.15	P1
1	HanXRQChr01	81000000	82000000	1	0.95	1	0.05	P2
1	HanXRQChr01	82000000	83000000	0.91	0.83	0.97	0.14	P2
1	HanXRQChr01	83000000	84000000	0.65	0.56	0.73	0.17	P2
1	HanXRQChr01	84000000	85000000	0.34	0.29	0.38	0.09	P1
1	HanXRQChr01	85000000	86000000	0	0	0.01	0.01	P1
1	HanXRQChr01	86000000	87000000	0	0	0.01	0.01	P1
1	HanXRQChr01	87000000	88000000	0	0	0.01	0.01	P1
1	HanXRQChr01	88000000	89000000	0	0	0.01	0.01	P1
1	HanXRQChr01	89000000	90000000	0	0	0.01	0.01	P1
1	HanXRQChr01	90000000	91000000	0	0	0.01	0.01	P1
1	HanXRQChr01	91000000	92000000	0	0	0.01	0.01	P1
1	HanXRQChr01	92000000	93000000	1	0.89	1	0.11	P2
1	HanXRQChr01	93000000	94000000	1	0.96	1	0.04	P2
1	HanXRQChr01	94000000	95000000	1	0.95	1	0.05	P2
1	HanXRQChr01	95000000	96000000	0.97	0.93	0.99	0.0599999999999999	P2
1	HanXRQChr01	96000000	97000000	0.97	0.92	1	0.08	P2
1	HanXRQChr01	97000000	98000000	1	0.96	1	0.04	P2
1	HanXRQChr01	98000000	99000000	1	0.98	1	0.02	P2
1	HanXRQChr01	99000000	100000000	1	0.97	1	0.03	P2
1	HanXRQChr01	100000000	101000000	1	0.97	1	0.03	P2
1	HanXRQChr01	101000000	102000000	1	0.97	1	0.03	P2
1	HanXRQChr01	102000000	103000000	1	0.95	1	0.05	P2
1	HanXRQChr01	103000000	104000000	1	0.98	1	0.02	P2
1	HanXRQChr01	104000000	105000000	0.99	0.96	1	0.04	P2
1	HanXRQChr01	105000000	106000000	1	0.98	1	0.02	P2
1	HanXRQChr01	106000000	107000000	0.93	0.88	0.97	0.09	P2
1	HanXRQChr01	107000000	108000000	0.94	0.85	0.99	0.14	P2
1	HanXRQChr01	108000000	109000000	0.99	0.96	1	0.04	P2
1	HanXRQChr01	109000000	110000000	1	0.99	1	0.01	P2
1	HanXRQChr01	110000000	111000000	0.99	0.96	1	0.04	P2
1	HanXRQChr01	111000000	112000000	0.96	0.89	1	0.11	P2
1	HanXRQChr01	112000000	113000000	0.98	0.94	1	0.0600000000000001	P2
1	HanXRQChr01	113000000	114000000	1	0.99	1	0.01	P2
1	HanXRQChr01	114000000	115000000	1	0.97	1	0.03	P2
1	HanXRQChr01	115000000	116000000	1	0.98	1	0.02	P2
1	HanXRQChr01	116000000	117000000	1	0.91	1	0.09	P2
1	HanXRQChr01	117000000	118000000	1	0.98	1	0.02	P2
1	HanXRQChr01	118000000	119000000	0.25	0.2	0.31	0.11	P1
1	HanXRQChr01	119000000	120000000	0	0	0.01	0.01	P1
1	HanXRQChr01	120000000	121000000	0	0	0.01	0.01	P1
1	HanXRQChr01	121000000	122000000	0.65	0.58	0.71	0.13	P2
1	HanXRQChr01	122000000	123000000	1	0.98	1	0.02	P2
1	HanXRQChr01	123000000	124000000	1	0.98	1	0.02	P2
1	HanXRQChr01	124000000	125000000	0.98	0.94	1	0.0600000000000001	P2
1	HanXRQChr01	125000000	126000000	0.97	0.94	0.99	0.05	P2
1	HanXRQChr01	126000000	127000000	0.6	0.56	0.65	0.09	P2
1	HanXRQChr01	127000000	128000000	0	0	0.01	0.01	P1
1	HanXRQChr01	128000000	129000000	1	0.99	1	0.01	P2
1	HanXRQChr01	129000000	130000000	1	0.98	1	0.02	P2
1	HanXRQChr01	130000000	131000000	1	0.97	1	0.03	P2
1	HanXRQChr01	131000000	132000000	0.99	0.96	1	0.04	P2
1	HanXRQChr01	132000000	133000000	1	0.94	1	0.0600000000000001	P2
1	HanXRQChr01	133000000	134000000	0.96	0.91	0.99	0.08	P2
1	HanXRQChr01	134000000	135000000	0.79	0.73	0.85	0.12	P2
1	HanXRQChr01	135000000	136000000	0.52	0.46	0.59	0.13	admixed
1	HanXRQChr01	136000000	137000000	0.72	0.63	0.79	0.16	P2
1	HanXRQChr01	137000000	138000000	0.95	0.84	1	0.16	P2
1	HanXRQChr01	138000000	139000000	0.97	0.9	1	0.1	P2
1	HanXRQChr01	139000000	140000000	0.97	0.94	0.99	0.05	P2
1	HanXRQChr01	140000000	141000000	0.94	0.87	0.99	0.12	P2
1	HanXRQChr01	141000000	142000000	1	0.83	1	0.17	P2
1	HanXRQChr01	142000000	143000000	0.9	0.81	0.97	0.16	P2
1	HanXRQChr01	143000000	144000000	0.04	0.01	0.07	0.06	P1
1	HanXRQChr01	144000000	145000000	0	0	0.01	0.01	P1
1	HanXRQChr01	145000000	146000000	0.48	0.41	0.55	0.14	admixed
1	HanXRQChr01	146000000	147000000	0.74	0.69	0.79	0.1	P2
1	HanXRQChr01	147000000	148000000	1	0.95	1	0.05	P2
1	HanXRQChr01	148000000	149000000	0.04	0.02	0.07	0.05	P1
1	HanXRQChr01	149000000	150000000	0.13	0.06	0.22	0.16	P1
1	HanXRQChr01	150000000	151000000	0.58	0.5	0.65	0.15	admixed
1	HanXRQChr01	151000000	152000000	0.88	0.79	0.95	0.16	P2
1	HanXRQChr01	152000000	153000000	0.08	0.04	0.14	0.1	P1
1	HanXRQChr01	153000000	154000000	0.86	0.82	0.89	0.0700000000000001	P2
1	HanXRQChr02	1000000	2000000	0	0	0.5	0.5	admixed
1	HanXRQChr02	2000000	3000000	0.05	0.02	0.1	0.08	P1
1	HanXRQChr02	3000000	4000000	0.57	0.43	0.72	0.29	admixed
1	HanXRQChr02	4000000	5000000	0.95	0.86	1	0.14	P2
1	HanXRQChr02	5000000	6000000	1	0.95	1	0.05	P2
1	HanXRQChr02	6000000	7000000	0.05	0.02	0.11	0.09	P1
1	HanXRQChr02	7000000	8000000	0.09	0.05	0.14	0.09	P1
1	HanXRQChr02	8000000	9000000	0.98	0.93	1	0.07	P2
1	HanXRQChr02	9000000	10000000	0.98	0.88	1	0.12	P2
1	HanXRQChr02	10000000	11000000	0.99	0.95	1	0.05	P2
1	HanXRQChr02	11000000	12000000	0.98	0.94	1	0.0600000000000001	P2
1	HanXRQChr02	12000000	13000000	0.99	0.96	1	0.04	P2
1	HanXRQChr02	13000000	14000000	1	0.97	1	0.03	P2
1	HanXRQChr02	14000000	15000000	0.99	0.95	1	0.05	P2
1	HanXRQChr02	15000000	16000000	1	0.95	1	0.05	P2
1	HanXRQChr02	16000000	17000000	0.98	0.94	1	0.0600000000000001	P2
1	HanXRQChr02	17000000	18000000	1	0.93	1	0.07	P2
1	HanXRQChr02	18000000	19000000	0.99	0.93	1	0.07	P2
1	HanXRQChr02	19000000	20000000	0.98	0.94	1	0.0600000000000001	P2
1	HanXRQChr02	20000000	21000000	0.99	0.96	1	0.04	P2
1	HanXRQChr02	21000000	22000000	0.84	0.59	1	0.41	P2
1	HanXRQChr02	22000000	23000000	0.98	0.94	1	0.0600000000000001	P2
1	HanXRQChr02	23000000	24000000	0.99	0.95	1	0.05	P2
1	HanXRQChr02	24000000	25000000	1	0.97	1	0.03	P2
1	HanXRQChr02	25000000	26000000	0.96	0.9	1	0.1	P2
1	HanXRQChr02	26000000	27000000	1	0.96	1	0.04	P2
1	HanXRQChr02	27000000	28000000	0.1	0.04	0.18	0.14	P1
1	HanXRQChr02	28000000	29000000	0.38	0.32	0.45	0.13	P1
1	HanXRQChr02	29000000	30000000	0	0	0.01	0.01	P1
1	HanXRQChr02	30000000	31000000	0.3	0.19	0.43	0.24	P1
1	HanXRQChr02	31000000	32000000	0.97	0.88	1	0.12	P2
1	HanXRQChr02	32000000	33000000	1	0.98	1	0.02	P2
1	HanXRQChr02	33000000	34000000	0.43	0.1	0.93	0.83	NA
1	HanXRQChr02	34000000	35000000	1	0.94	1	0.0600000000000001	P2
1	HanXRQChr02	35000000	36000000	1	0.98	1	0.02	P2
1	HanXRQChr02	36000000	37000000	0.95	0.82	1	0.18	P2
1	HanXRQChr02	37000000	38000000	0.94	0.87	0.99	0.12	P2
1	HanXRQChr02	38000000	39000000	1	0.67	1	0.33	P2
1	HanXRQChr02	39000000	40000000	0.98	0.94	1	0.0600000000000001	P2
1	HanXRQChr02	40000000	41000000	0.98	0.92	1	0.08	P2
1	HanXRQChr02	41000000	42000000	1	0.93	1	0.07	P2
1	HanXRQChr02	42000000	43000000	0.98	0.93	1	0.07	P2
1	HanXRQChr02	43000000	44000000	1	0.98	1	0.02	P2
1	HanXRQChr02	44000000	45000000	0.98	0.94	1	0.0600000000000001	P2
1	HanXRQChr02	45000000	46000000	0.95	0.87	0.99	0.12	P2
1	HanXRQChr02	46000000	47000000	0.94	0.81	1	0.19	P2
1	HanXRQChr02	47000000	48000000	1	0.98	1	0.02	P2
1	HanXRQChr02	48000000	49000000	1	0.78	1	0.22	P2
1	HanXRQChr02	49000000	50000000	0.97	0.93	1	0.07	P2
1	HanXRQChr02	50000000	51000000	1	0.97	1	0.03	P2
1	HanXRQChr02	51000000	52000000	0.98	0.92	1	0.08	P2
1	HanXRQChr02	52000000	53000000	0.96	0.88	1	0.12	P2
1	HanXRQChr02	53000000	54000000	0.99	0.94	1	0.0600000000000001	P2
1	HanXRQChr02	54000000	55000000	1	0.97	1	0.03	P2
1	HanXRQChr02	55000000	56000000	1	0.94	1	0.0600000000000001	P2
1	HanXRQChr02	56000000	57000000	1	0.88	1	0.12	P2
1	HanXRQChr02	57000000	58000000	1	0.99	1	0.01	P2
1	HanXRQChr02	60000000	61000000	1	0.96	1	0.04	P2
1	HanXRQChr02	61000000	62000000	0.98	0.92	1	0.08	P2
1	HanXRQChr02	62000000	63000000	0.96	0.82	1	0.18	P2
1	HanXRQChr02	63000000	64000000	0.94	0.82	1	0.18	P2
1	HanXRQChr02	64000000	65000000	0.57	0.03	1	0.97	NA
1	HanXRQChr02	65000000	66000000	1	0.93	1	0.07	P2
1	HanXRQChr02	66000000	67000000	0.97	0.91	1	0.09	P2
1	HanXRQChr02	67000000	68000000	1	0.98	1	0.02	P2
1	HanXRQChr02	68000000	69000000	1	0.84	1	0.16	P2
1	HanXRQChr02	69000000	70000000	0.88	0.76	0.97	0.21	P2
1	HanXRQChr02	70000000	71000000	1	0.98	1	0.02	P2
1	HanXRQChr02	71000000	72000000	1	0	1	1	NA
1	HanXRQChr02	72000000	73000000	1	0.79	1	0.21	P2
1	HanXRQChr02	73000000	74000000	1	0.97	1	0.03	P2
1	HanXRQChr02	74000000	75000000	1	0.96	1	0.04	P2
1	HanXRQChr02	75000000	76000000	1	0.68	1	0.32	P2
1	HanXRQChr02	76000000	77000000	0.96	0.89	0.99	0.1	P2
1	HanXRQChr02	77000000	78000000	0.98	0.86	1	0.14	P2
1	HanXRQChr02	78000000	79000000	1	0.95	1	0.05	P2
1	HanXRQChr02	79000000	80000000	0.98	0.89	1	0.11	P2
1	HanXRQChr02	80000000	81000000	0.96	0.85	1	0.15	P2
1	HanXRQChr02	81000000	82000000	1	0.76	1	0.24	P2
1	HanXRQChr02	82000000	83000000	1	0.92	1	0.08	P2
1	HanXRQChr02	83000000	84000000	1	0.93	1	0.07	P2
1	HanXRQChr02	84000000	85000000	1	0.8	1	0.2	P2
1	HanXRQChr02	85000000	86000000	1	0.97	1	0.03	P2
1	HanXRQChr02	86000000	87000000	1	0.96	1	0.04	P2
1	HanXRQChr02	87000000	88000000	1	0.9	1	0.1	P2
1	HanXRQChr02	88000000	89000000	1	0.96	1	0.04	P2
1	HanXRQChr02	89000000	90000000	0.97	0.91	1	0.09	P2
1	HanXRQChr02	90000000	91000000	1	0.87	1	0.13	P2
1	HanXRQChr02	91000000	92000000	1	0.85	1	0.15	P2
1	HanXRQChr02	92000000	93000000	1	0.93	1	0.07	P2
1	HanXRQChr02	93000000	94000000	0.99	0.94	1	0.0600000000000001	P2
1	HanXRQChr02	94000000	95000000	1	0.92	1	0.08	P2
1	HanXRQChr02	95000000	96000000	0.97	0.91	1	0.09	P2
1	HanXRQChr02	96000000	97000000	0.98	0.82	1	0.18	P2
1	HanXRQChr02	97000000	98000000	1	0.98	1	0.02	P2
1	HanXRQChr02	98000000	99000000	1	0.98	1	0.02	P2
1	HanXRQChr02	99000000	100000000	1	0.98	1	0.02	P2
1	HanXRQChr02	100000000	101000000	0.97	0.93	1	0.07	P2
1	HanXRQChr02	101000000	102000000	0.94	0.85	0.99	0.14	P2
1	HanXRQChr02	103000000	104000000	0.93	0.84	0.99	0.15	P2
1	HanXRQChr02	104000000	105000000	0.98	0.93	1	0.07	P2
1	HanXRQChr02	105000000	106000000	1	0.98	1	0.02	P2
1	HanXRQChr02	106000000	107000000	1	0.98	1	0.02	P2
1	HanXRQChr02	107000000	108000000	1	0.97	1	0.03	P2
1	HanXRQChr02	108000000	109000000	1	0.96	1	0.04	P2
1	HanXRQChr02	109000000	110000000	1	0.98	1	0.02	P2
1	HanXRQChr02	110000000	111000000	0.94	0.73	1	0.27	P2
1	HanXRQChr02	111000000	112000000	1	0.86	1	0.14	P2
1	HanXRQChr02	112000000	113000000	0.97	0.91	1	0.09	P2
1	HanXRQChr02	113000000	114000000	0.96	0.82	1	0.18	P2
1	HanXRQChr02	114000000	115000000	0.99	0.97	1	0.03	P2
1	HanXRQChr02	115000000	116000000	0.96	0.88	1	0.12	P2
1	HanXRQChr02	116000000	117000000	1	0.96	1	0.04	P2
1	HanXRQChr02	117000000	118000000	0.99	0.92	1	0.08	P2
1	HanXRQChr02	118000000	119000000	0.95	0.85	1	0.15	P2
1	HanXRQChr02	119000000	120000000	1	0.97	1	0.03	P2
1	HanXRQChr02	120000000	121000000	0.91	0.75	1	0.25	P2
1	HanXRQChr02	121000000	122000000	0.95	0.88	1	0.12	P2
1	HanXRQChr02	122000000	123000000	0.55	0.46	0.65	0.19	admixed
1	HanXRQChr02	123000000	124000000	0	0	0.05	0.05	P1
1	HanXRQChr02	124000000	125000000	0	0	0.06	0.06	P1
1	HanXRQChr02	125000000	126000000	0	0	0.03	0.03	P1
1	HanXRQChr02	126000000	127000000	0.99	0.89	1	0.11	P2
1	HanXRQChr02	127000000	128000000	0.97	0.91	1	0.09	P2
1	HanXRQChr02	128000000	129000000	0.96	0.92	1	0.08	P2
1	HanXRQChr02	129000000	130000000	0.97	0.9	1	0.1	P2
1	HanXRQChr02	130000000	131000000	0.91	0.86	0.95	0.09	P2
1	HanXRQChr02	131000000	132000000	0.25	0.18	0.32	0.14	P1
1	HanXRQChr02	132000000	133000000	0.94	0.84	1	0.16	P2
1	HanXRQChr02	133000000	134000000	0.9	0.84	0.95	0.11	P2
1	HanXRQChr02	134000000	135000000	0.92	0.84	0.98	0.14	P2
1	HanXRQChr02	135000000	136000000	1	0.92	1	0.08	P2
1	HanXRQChr02	136000000	137000000	0.91	0.82	0.97	0.15	P2
1	HanXRQChr02	137000000	138000000	0.84	0.74	0.92	0.18	P2
1	HanXRQChr02	138000000	139000000	1	0.94	1	0.0600000000000001	P2
1	HanXRQChr02	139000000	140000000	0.86	0.76	0.94	0.18	P2
1	HanXRQChr02	140000000	141000000	1	0.94	1	0.0600000000000001	P2
1	HanXRQChr02	141000000	142000000	0.98	0.87	1	0.13	P2
1	HanXRQChr02	142000000	143000000	0.95	0.81	1	0.19	P2
1	HanXRQChr02	143000000	144000000	1	0.93	1	0.07	P2
1	HanXRQChr02	144000000	145000000	1	0.96	1	0.04	P2
1	HanXRQChr02	145000000	146000000	0	0	0.11	0.11	P1
1	HanXRQChr02	146000000	147000000	0	0	0.01	0.01	P1
1	HanXRQChr02	147000000	148000000	0	0	0.02	0.02	P1
1	HanXRQChr02	148000000	149000000	0	0	0.02	0.02	P1
1	HanXRQChr02	149000000	150000000	0.16	0.1	0.23	0.13	P1
1	HanXRQChr02	150000000	151000000	0.97	0.91	1	0.09	P2
1	HanXRQChr02	151000000	152000000	0.9	0.79	1	0.21	P2
1	HanXRQChr02	152000000	153000000	0.97	0.89	1	0.11	P2
1	HanXRQChr02	153000000	154000000	1	0.97	1	0.03	P2
1	HanXRQChr02	154000000	155000000	0.97	0.92	1	0.08	P2
1	HanXRQChr02	155000000	156000000	0.99	0.96	1	0.04	P2
1	HanXRQChr02	156000000	157000000	0.97	0.91	1	0.09	P2
1	HanXRQChr02	157000000	158000000	0.99	0.97	1	0.03	P2
1	HanXRQChr02	158000000	159000000	0.95	0.83	1	0.17	P2
1	HanXRQChr02	159000000	160000000	0.55	0.36	0.74	0.38	admixed
1	HanXRQChr02	160000000	161000000	0	0	0.01	0.01	P1
1	HanXRQChr02	161000000	162000000	0	0	0.02	0.02	P1
1	HanXRQChr02	162000000	163000000	0	0	0.04	0.04	P1
1	HanXRQChr02	163000000	164000000	0.22	0.15	0.3	0.15	P1
1	HanXRQChr02	164000000	165000000	0.97	0.91	1	0.09	P2
1	HanXRQChr02	165000000	166000000	0.91	0.83	0.97	0.14	P2
1	HanXRQChr02	166000000	167000000	0.95	0.83	1	0.17	P2
1	HanXRQChr02	167000000	168000000	0.93	0.88	0.98	0.1	P2
1	HanXRQChr02	168000000	169000000	0.92	0.86	0.97	0.11	P2
1	HanXRQChr02	169000000	170000000	0.72	0.6	0.83	0.23	P2
1	HanXRQChr02	170000000	171000000	0.63	0.56	0.69	0.13	P2
1	HanXRQChr02	171000000	172000000	0.15	0.1	0.19	0.09	P1
1	HanXRQChr02	172000000	173000000	0	0	0.07	0.07	P1
1	HanXRQChr02	173000000	174000000	0.86	0.77	0.94	0.17	P2
1	HanXRQChr02	174000000	175000000	0.93	0.88	0.98	0.1	P2
1	HanXRQChr02	175000000	176000000	0.72	0.63	0.81	0.18	P2
1	HanXRQChr02	176000000	177000000	0.37	0.33	0.42	0.09	P1
1	HanXRQChr02	177000000	178000000	0.32	0.26	0.39	0.13	P1
1	HanXRQChr02	178000000	179000000	0.93	0.89	0.96	0.07	P2
1	HanXRQChr02	179000000	180000000	0.98	0.91	1	0.09	P2
1	HanXRQChr02	180000000	181000000	0.95	0.83	1	0.17	P2
1	HanXRQChr03	0	1000000	0.05	0.02	0.09	0.07	P1
1	HanXRQChr03	1000000	2000000	0.4	0.3	0.5	0.2	admixed
1	HanXRQChr03	2000000	3000000	0.99	0.94	1	0.0600000000000001	P2
1	HanXRQChr03	3000000	4000000	0.96	0.9	1	0.1	P2
1	HanXRQChr03	4000000	5000000	0.78	0.7	0.85	0.15	P2
1	HanXRQChr03	5000000	6000000	1	0.96	1	0.04	P2
1	HanXRQChr03	6000000	7000000	0.51	0.36	0.66	0.3	admixed
1	HanXRQChr03	7000000	8000000	0.88	0.75	0.99	0.24	P2
1	HanXRQChr03	8000000	9000000	0.97	0.92	1	0.08	P2
1	HanXRQChr03	9000000	10000000	0.87	0.74	0.97	0.23	P2
1	HanXRQChr03	10000000	11000000	1	0.9	1	0.1	P2
1	HanXRQChr03	11000000	12000000	1	0.98	1	0.02	P2
1	HanXRQChr03	12000000	13000000	0.31	0.23	0.4	0.17	P1
1	HanXRQChr03	13000000	14000000	0.1	0.03	0.21	0.18	P1
1	HanXRQChr03	14000000	15000000	1	0.95	1	0.05	P2
1	HanXRQChr03	15000000	16000000	0.97	0.9	1	0.1	P2
1	HanXRQChr03	16000000	17000000	1	0.98	1	0.02	P2
1	HanXRQChr03	17000000	18000000	0.99	0.95	1	0.05	P2
1	HanXRQChr03	18000000	19000000	0.98	0.91	1	0.09	P2
1	HanXRQChr03	19000000	20000000	1	0.96	1	0.04	P2
1	HanXRQChr03	20000000	21000000	0.99	0.92	1	0.08	P2
1	HanXRQChr03	21000000	22000000	0.71	0.61	0.81	0.2	P2
1	HanXRQChr03	22000000	23000000	0.91	0.74	1	0.26	P2
1	HanXRQChr03	23000000	24000000	1	0.94	1	0.0600000000000001	P2
1	HanXRQChr03	24000000	25000000	1	0.96	1	0.04	P2
1	HanXRQChr03	25000000	26000000	0.94	0.85	1	0.15	P2
1	HanXRQChr03	26000000	27000000	0.96	0.89	1	0.11	P2
1	HanXRQChr03	27000000	28000000	0.95	0.9	0.99	0.09	P2
1	HanXRQChr03	28000000	29000000	0.98	0.91	1	0.09	P2
1	HanXRQChr03	29000000	30000000	0.89	0.79	0.97	0.18	P2
1	HanXRQChr03	30000000	31000000	0.95	0.88	0.99	0.11	P2
1	HanXRQChr03	31000000	32000000	0.97	0.93	1	0.07	P2
1	HanXRQChr03	32000000	33000000	1	0.98	1	0.02	P2
1	HanXRQChr03	33000000	34000000	1	0.96	1	0.04	P2
1	HanXRQChr03	34000000	35000000	0.97	0.92	0.99	0.07	P2
1	HanXRQChr03	35000000	36000000	1	0.95	1	0.05	P2
1	HanXRQChr03	36000000	37000000	1	0.95	1	0.05	P2
1	HanXRQChr03	37000000	38000000	1	0.95	1	0.05	P2
1	HanXRQChr03	38000000	39000000	1	0.92	1	0.08	P2
1	HanXRQChr03	39000000	40000000	1	0.97	1	0.03	P2
1	HanXRQChr03	40000000	41000000	0.99	0.95	1	0.05	P2
1	HanXRQChr03	41000000	42000000	1	0.95	1	0.05	P2
1	HanXRQChr03	42000000	43000000	0.99	0.95	1	0.05	P2
1	HanXRQChr03	43000000	44000000	1	0.98	1	0.02	P2
1	HanXRQChr03	44000000	45000000	1	0.95	1	0.05	P2
1	HanXRQChr03	45000000	46000000	1	0.98	1	0.02	P2
1	HanXRQChr03	46000000	47000000	0.98	0.92	1	0.08	P2
1	HanXRQChr03	47000000	48000000	1	0.91	1	0.09	P2
1	HanXRQChr03	48000000	49000000	1	0.94	1	0.0600000000000001	P2
1	HanXRQChr03	49000000	50000000	1	0.71	1	0.29	P2
1	HanXRQChr03	50000000	51000000	0.91	0.79	0.99	0.2	P2
1	HanXRQChr03	51000000	52000000	0.97	0.9	1	0.1	P2
1	HanXRQChr03	52000000	53000000	0.98	0.92	1	0.08	P2
1	HanXRQChr03	53000000	54000000	1	0.98	1	0.02	P2
1	HanXRQChr03	54000000	55000000	0.98	0.92	1	0.08	P2
1	HanXRQChr03	55000000	56000000	1	0.97	1	0.03	P2
1	HanXRQChr03	56000000	57000000	1	0.97	1	0.03	P2
1	HanXRQChr03	57000000	58000000	1	0.98	1	0.02	P2
1	HanXRQChr03	58000000	59000000	1	0.97	1	0.03	P2
1	HanXRQChr03	59000000	60000000	1	0.96	1	0.04	P2
1	HanXRQChr03	60000000	61000000	1	0.97	1	0.03	P2
