sample	chr	window	ancestry
1	chr1	126	0.2
1	chr1	127	0.1
1	chr1	128	0.2
1	chr1	129	0.5
1	chr1	130	0.8
1	chr1	131	0.7
1	chr1	132	0.3
1	chr1	133	0.2
1	chr1	134	0.2
1	chr1	135	0.8
1	chr1	136	0.4
1	chr1	137	0.4
1	chr1	138	0
1	chr1	139	0.1
1	chr1	140	1
1	chr1	141	0.8
1	chr1	142	0.3
1	chr1	143	0.4
1	chr1	144	0.6
1	chr1	145	0.5
1	chr1	146	0
1	chr1	147	1
1	chr1	148	0.9
1	chr1	149	0.1
1	chr1	150	0
1	chr1	151	0.2
1	chr1	152	0.2
1	chr1	153	0.4
1	chr1	154	0.7
1	chr1	155	1
1	chr1	156	0.8
1	chr1	157	0.9
1	chr1	158	0.9
1	chr1	159	0.8
1	chr1	160	0.8
1	chr1	161	0.8
1	chr1	162	1
1	chr1	163	0.7
1	chr1	163	0.5
1	chr2	1	0.2
1	chr2	2	0.4
1	chr2	3	0.4
1	chr2	4	0.6
1	chr2	5	0
1	chr2	6	0.2
1	chr2	7	0.1
1	chr2	8	0.8
1	chr2	9	0.3
1	chr2	10	0.3
1	chr2	11	0
1	chr2	12	0
1	chr2	13	0.2
1	chr2	14	0
1	chr2	15	0.2
1	chr2	16	0.5
1	chr2	17	0.1
1	chr2	18	0.2
1	chr2	19	0.5
1	chr2	20	0.6
1	chr2	21	0.8
1	chr2	22	0.6
1	chr2	23	0
1	chr2	24	0
1	chr2	25	0
1	chr2	26	0.1
1	chr2	27	0.6
1	chr2	28	0.6
1	chr2	29	0.2
1	chr2	30	0.2
1	chr2	31	0.7
1	chr2	32	0.3
1	chr2	33	0.8
1	chr2	34	0.8
1	chr2	35	0.8
1	chr2	36	0.6
1	chr2	37	0
1	chr2	38	0.6
1	chr2	39	0.2
1	chr2	40	0.3
1	chr2	41	0.8
1	chr2	42	0.2
1	chr2	43	0.6
1	chr2	44	0.3
1	chr2	45	0
1	chr2	46	0
1	chr2	47	0
1	chr2	48	0
1	chr2	49	0.6
1	chr2	50	0
1	chr2	51	0.5
1	chr2	52	0.6
1	chr2	53	0
1	chr2	54	0
1	chr2	55	0
1	chr2	56	0
1	chr2	57	0
1	chr2	58	0
1	chr2	59	0.6
1	chr2	60	0.2
1	chr2	61	0
1	chr2	62	0
1	chr2	63	0
1	chr2	64	0.2
1	chr2	65	0
1	chr2	66	0.2
1	chr2	67	0.1
1	chr2	68	0.9
1	chr2	69	0.7
1	chr2	70	0.2
1	chr2	71	0
1	chr2	72	0.6
1	chr2	73	0
1	chr2	74	0
1	chr2	75	0.8
1	chr2	76	0.2
1	chr2	77	0.4
1	chr2	78	0.4
1	chr2	79	0.2
1	chr2	80	0.2
1	chr2	81	0.4
1	chr2	82	0.8
1	chr2	83	0.3
1	chr2	84	1
1	chr2	85	0.4
1	chr2	86	0.6
1	chr2	87	0.4
1	chr2	88	0.8
1	chr2	89	0.3
1	chr2	90	1
1	chr2	91	1
1	chr2	92	1
1	chr2	93	1
1	chr2	94	0.8
1	chr2	95	0.4
1	chr2	96	1
1	chr2	97	1
1	chr2	98	0.9
1	chr2	99	0.3
1	chr2	100	0.8
1	chr2	101	1
1	chr2	102	0.8
1	chr2	103	1
1	chr2	104	0.6
1	chr2	105	0.4
1	chr2	106	0
1	chr2	107	0.6
1	chr2	108	1
1	chr2	109	1
1	chr2	110	0.6
1	chr2	111	1
1	chr2	112	0.6
1	chr2	113	0.6
1	chr2	114	1
1	chr2	115	1
1	chr2	116	0.6
1	chr2	117	1
1	chr2	118	1
1	chr2	119	1
1	chr2	120	1
1	chr2	121	1
1	chr2	122	0.8
1	chr2	123	1
1	chr2	124	0.8
1	chr2	125	0.8
1	chr2	126	0.7
1	chr2	127	0.7
1	chr2	128	0.7
1	chr2	129	0.8
1	chr2	130	0.9
1	chr2	131	0.9
1	chr2	132	1
1	chr2	133	1
1	chr2	134	1
1	chr2	135	0
1	chr2	136	0.6
1	chr2	137	1
1	chr2	138	1
1	chr2	139	1
1	chr2	140	0.4
1	chr2	141	0
1	chr2	142	0
1	chr2	143	0.2
1	chr2	144	0.1
1	chr2	145	0.8
1	chr2	146	0.6
1	chr2	147	0.4
1	chr2	148	0.4
1	chr2	149	0.8
1	chr2	150	1
1	chr2	151	0.8
1	chr2	152	0.2
1	chr2	153	0.8
1	chr2	154	0.8
1	chr2	155	0.4
1	chr2	156	0.8
1	chr2	157	0.2
1	chr2	158	0.2
1	chr2	159	0.8
1	chr2	160	0.8
1	chr2	161	0.6
1	chr2	162	0.8
1	chr2	163	0.4
1	chr2	164	0.2
1	chr2	165	0.2
1	chr2	166	0.6
1	chr2	167	0
1	chr2	168	0.2
1	chr2	169	0.7
1	chr2	170	0.4
1	chr2	171	0.2
1	chr2	172	0
1	chr2	173	0
1	chr2	174	0
1	chr2	175	0.8
1	chr2	176	0.2
1	chr2	177	0.6
1	chr2	178	0.6
1	chr2	179	0.6
1	chr2	179	0
1	chr3	1	0
1	chr3	2	0.2
1	chr3	3	0.3
1	chr3	4	0.3
1	chr3	5	1
1	chr3	6	1
1	chr3	7	0.6
1	chr3	8	0
1	chr3	9	0.5
1	chr3	10	0.9
1	chr3	11	0.2
1	chr3	12	0.9
1	chr3	13	0.6
1	chr3	14	0.4
1	chr3	15	0
1	chr3	16	0
1	chr3	17	0.2
1	chr3	18	0.5
1	chr3	19	0.5
1	chr3	20	0.2
1	chr3	21	0.4
1	chr3	22	1
1	chr3	23	0.9
1	chr3	24	1
1	chr3	25	0.4
1	chr3	26	0.5
1	chr3	27	0.2
1	chr3	28	0.3
1	chr3	29	1
1	chr3	30	0.4
1	chr3	31	1
1	chr3	32	1
1	chr3	33	0.4
1	chr3	34	1
1	chr3	35	0.4
1	chr3	36	0.8
1	chr3	37	0.6
1	chr3	38	0.6
1	chr3	39	0
1	chr3	40	0.2
1	chr3	41	0
1	chr3	42	0
1	chr3	43	0
1	chr3	44	0.3
1	chr3	45	0.3
1	chr3	46	0
1	chr3	47	0
1	chr3	48	0.4
1	chr3	49	1
1	chr3	50	0.4
1	chr3	51	0.6
1	chr3	52	0.6
1	chr3	53	0.2
1	chr3	54	0
1	chr3	55	0.5
1	chr3	56	0.2
1	chr3	57	0.9
1	chr3	58	0.8
1	chr3	59	0.6
1	chr3	60	0.2
1	chr3	61	0.2
1	chr3	62	0
1	chr3	63	0
1	chr3	64	1
1	chr3	65	0.6
1	chr3	66	0.4
1	chr3	67	0.4
1	chr3	68	0
1	chr3	69	0.2
1	chr3	70	0
1	chr3	71	0.8
1	chr3	72	0.8
1	chr3	73	0
1	chr3	74	0.2
1	chr3	75	0
1	chr3	76	0.8
1	chr3	77	0.3
1	chr3	78	0.4
1	chr3	79	0.4
1	chr3	80	0
1	chr3	81	0
1	chr3	82	0.2
1	chr3	83	0.7
1	chr3	84	0.5
1	chr3	85	0.8
1	chr3	86	0.6
1	chr3	87	0.8
1	chr3	88	0.5
1	chr3	89	0.3
1	chr3	90	0.7
1	chr3	91	0.8
1	chr3	92	0.8
1	chr3	93	0.7
1	chr3	94	0.2
1	chr3	95	0.8
1	chr3	96	1
1	chr3	97	0.6
1	chr3	98	0.4
1	chr3	99	0.4
1	chr3	100	1
1	chr3	101	1
1	chr3	102	0.8
1	chr3	103	0.4
1	chr3	104	0.4
1	chr3	105	0.6
1	chr3	106	1
1	chr3	107	1
1	chr3	108	1
1	chr3	109	0.9
1	chr3	110	0.2
1	chr3	111	1
1	chr3	112	0.6
1	chr3	113	0.3
1	chr3	114	0.4
1	chr3	115	0.7
1	chr3	116	0.4
1	chr3	117	0.4
1	chr3	118	0
1	chr3	119	0
1	chr3	120	0.4
1	chr3	121	0.8
1	chr3	122	1
1	chr3	123	0.8
1	chr3	124	0.4
1	chr3	125	0.9
1	chr3	126	0.5
1	chr3	127	0.2
1	chr3	128	0.5
1	chr3	129	1
1	chr3	130	0.8
1	chr3	131	0.6
1	chr3	132	1
1	chr3	133	1
1	chr3	134	0.8
1	chr3	135	0.9
1	chr3	136	0.8
1	chr3	137	0
1	chr3	138	0.2
1	chr3	139	0.4
1	chr3	140	1
1	chr3	141	1
1	chr3	142	0.2
1	chr3	143	0.4
1	chr3	144	0.3
1	chr3	145	0.1
1	chr3	146	0.3
1	chr3	147	0
1	chr3	148	0.6
1	chr3	149	0.8
1	chr3	150	0.4
1	chr3	151	0.2
1	chr3	152	0.4
1	chr3	153	0.4
1	chr3	154	0.8
1	chr3	155	0.5
1	chr3	156	0.2
1	chr3	157	0.4
1	chr3	157	0.2
1	chr4	1	0.2
1	chr4	2	0.6
1	chr4	3	0.5
1	chr4	4	0.3
1	chr4	5	0
1	chr4	6	0.4
1	chr4	7	0.2
1	chr4	8	1
1	chr4	9	1
1	chr4	10	0.4
1	chr4	11	0.4
1	chr4	12	0.4
1	chr4	13	0.2
1	chr4	14	1
1	chr4	15	0.5
1	chr4	16	0.4
1	chr4	17	0.6
1	chr4	18	1
1	chr4	19	0.2
1	chr4	20	0.2
1	chr4	21	0.4
1	chr4	22	0.4
1	chr4	23	0.7
1	chr4	24	0.1
1	chr4	25	0
1	chr4	26	0
1	chr4	27	0
1	chr4	28	0.4
1	chr4	29	0.2
1	chr4	30	0
1	chr4	31	0
1	chr4	32	1
1	chr4	33	0.2
1	chr4	34	0
1	chr4	35	0.4
1	chr4	36	0.1
1	chr4	37	0.4
1	chr4	38	0
1	chr4	39	0.3
1	chr4	40	1
1	chr4	41	0
1	chr4	42	0
1	chr4	43	0.6
1	chr4	44	0.4
1	chr4	45	0.8
1	chr4	46	0
1	chr4	47	0.4
1	chr4	48	0
1	chr4	49	0.5
1	chr4	50	0.6
1	chr4	51	0
1	chr4	52	0.2
1	chr4	53	0.6
1	chr4	54	0
1	chr4	55	0
1	chr4	56	0
1	chr4	57	0.8
1	chr4	58	0.4
1	chr4	59	0.6
1	chr4	60	0.8
1	chr4	61	0
1	chr4	62	0.1
1	chr4	63	0.2
1	chr4	64	0.1
1	chr4	65	0
1	chr4	66	0
1	chr4	67	0
1	chr4	68	0.3
1	chr4	69	0.8
1	chr4	70	0
1	chr4	71	0
1	chr4	72	0.2
1	chr4	73	0.2
1	chr4	74	0.3
1	chr4	75	0.3
1	chr4	76	0
1	chr4	77	0.4
1	chr4	78	0.6
1	chr4	79	0.8
1	chr4	80	0.3
1	chr4	81	0
1	chr4	82	0.8
1	chr4	83	0.2
1	chr4	84	0
1	chr4	85	0.2
1	chr4	86	0.2
1	chr4	87	0.4
1	chr4	88	0.3
1	chr4	89	0.4
1	chr4	90	0.2
1	chr4	91	0.2
1	chr4	92	0
1	chr4	93	0.6
1	chr4	94	0.2
1	chr4	95	0.2
1	chr4	96	0.6
1	chr4	97	1
1	chr4	98	1
1	chr4	99	0.6
1	chr4	100	0.3
1	chr4	101	0.9
1	chr4	102	0.2
1	chr4	103	0.8
1	chr4	104	0.5
1	chr4	105	0.6
1	chr4	106	0.6
1	chr4	107	0
1	chr4	108	0.8
1	chr4	109	1
1	chr4	110	0.7
1	chr4	111	0.8
1	chr4	112	0.6
1	chr4	113	0.1
1	chr4	114	0.1
1	chr4	115	0.6
1	chr4	116	0.8
1	chr4	117	0.9
1	chr4	118	1
1	chr4	119	0.2
1	chr4	120	0.2
1	chr4	121	0.2
1	chr4	122	0.8
1	chr4	123	1
1	chr4	124	1
1	chr4	125	1
1	chr4	126	1
1	chr4	127	1
1	chr4	128	1
1	chr4	129	1
1	chr4	130	1
1	chr4	131	1
1	chr4	132	1
1	chr4	133	1
1	chr4	134	1
1	chr4	135	0.6
1	chr4	136	0.7
1	chr4	137	1
1	chr4	138	0.9
1	chr4	139	0.1
1	chr4	140	0.2
1	chr4	141	1
1	chr4	142	1
1	chr4	143	0.6
1	chr4	144	0.4
1	chr4	145	1
1	chr4	146	1
1	chr4	147	1
1	chr4	148	1
1	chr4	149	1
1	chr4	150	1
1	chr4	151	0.7
1	chr4	152	0.3
1	chr4	153	0.6
1	chr4	154	0.8
1	chr4	155	0.4
1	chr4	156	0.9
1	chr4	157	0.6
1	chr4	158	0.5
1	chr4	159	0.6
1	chr4	160	0.7
1	chr4	161	0.3
1	chr4	162	0.3
1	chr4	163	0.5
1	chr4	164	1
1	chr4	165	0.8
1	chr4	166	0.8
1	chr4	167	0.4
1	chr4	168	0.2
1	chr4	169	0.3
1	chr4	170	0.8
1	chr4	171	0.4
1	chr4	172	0.8
1	chr4	173	0.9
1	chr4	174	0.1
1	chr4	175	0.6
1	chr4	176	0.8
1	chr4	177	0.7
1	chr4	178	0.6
1	chr4	179	0
1	chr4	180	0.4
1	chr4	181	0
1	chr4	182	0
1	chr4	183	0.2
1	chr4	184	0.2
1	chr4	185	0.2
1	chr4	186	0.8
1	chr4	187	0.4
1	chr4	188	0.1
1	chr4	189	0
1	chr4	190	0
1	chr4	191	0.9
1	chr4	192	0.2
1	chr4	193	0.3
1	chr4	194	0.4
1	chr4	194	1
1	chr5	1	0.5
1	chr5	2	0.6
1	chr5	3	1
1	chr5	4	0.2
1	chr5	5	0
1	chr5	6	0.2
1	chr5	7	1
1	chr5	8	1
1	chr5	9	1
1	chr5	10	1
1	chr5	11	1
1	chr5	12	0
1	chr5	13	0.6
1	chr5	14	0
1	chr5	15	0.6
1	chr5	16	0.4
1	chr5	17	1
1	chr5	18	0.4
1	chr5	19	1
1	chr5	20	0.8
1	chr5	21	0.8
1	chr5	22	0.8
1	chr5	23	0.2
1	chr5	24	0.2
1	chr5	25	0.1
1	chr5	26	0.2
1	chr5	27	0.7
1	chr5	28	0.9
1	chr5	29	0.2
1	chr5	30	0.2
1	chr5	31	0.8
1	chr5	32	0.5
1	chr5	33	0.9
1	chr5	34	0.2
1	chr5	35	0.2
1	chr5	36	0.3
1	chr5	37	0.8
1	chr5	38	0.7
1	chr5	39	1
1	chr5	40	0.8
1	chr5	41	0.4
1	chr5	42	0.4
1	chr5	43	0.2
1	chr5	44	0.4
1	chr5	45	0.5
1	chr5	46	0.2
1	chr5	47	0.3
1	chr5	48	0.4
1	chr5	49	0.9
1	chr5	50	0.1
1	chr5	51	0
1	chr5	52	0
1	chr5	53	0
1	chr5	54	0
1	chr5	55	0
1	chr5	56	0
1	chr5	57	0
1	chr5	58	0
1	chr5	59	0
1	chr5	60	0
1	chr5	61	0.2
1	chr5	62	0.5
1	chr5	63	0
1	chr5	64	0.7
1	chr5	65	0.2
1	chr5	66	0.7
1	chr5	67	0.2
1	chr5	68	0.5
1	chr5	69	0
1	chr5	70	0
1	chr5	71	0.2
1	chr5	72	0.5
1	chr5	73	0
1	chr5	74	0.6
1	chr5	75	1
1	chr5	76	0.8
1	chr5	77	0.2
1	chr5	78	0.7
1	chr5	79	0
1	chr5	80	0.3
1	chr5	81	0
1	chr5	82	0.8
1	chr5	83	1
1	chr5	84	1
1	chr5	85	1
1	chr5	86	0.9
1	chr5	87	0.8
1	chr5	88	0.8
1	chr5	89	1
1	chr5	90	1
1	chr5	91	1
1	chr5	92	0.8
1	chr5	93	0.2
1	chr5	94	0.4
1	chr5	95	0.6
1	chr5	96	0.4
1	chr5	97	0.6
1	chr5	98	0.6
1	chr5	99	0
1	chr5	100	0.6
1	chr5	101	1
1	chr5	102	0.9
1	chr5	103	0.5
1	chr5	104	0.4
1	chr5	105	0.4
1	chr5	106	0.5
1	chr5	107	0
1	chr5	108	0.6
1	chr5	109	1
1	chr5	110	0.9
1	chr5	111	0.8
1	chr5	112	1
1	chr5	113	1
1	chr5	114	0.8
1	chr5	115	1
1	chr5	116	0.8
1	chr5	117	1
1	chr5	118	0.8
1	chr5	119	1
1	chr5	120	0.8
1	chr5	121	1
1	chr5	122	1
1	chr5	123	0.7
1	chr5	124	1
1	chr5	125	0.6
1	chr5	126	1
1	chr5	127	1
1	chr5	128	1
1	chr5	129	0.6
1	chr5	130	0.6
1	chr5	131	0.6
1	chr5	132	1
1	chr5	133	1
1	chr5	134	1
1	chr5	135	0.9
1	chr5	136	0.8
1	chr5	137	0.2
1	chr5	138	0
1	chr5	139	0.2
1	chr5	140	0.6
1	chr5	141	0
1	chr5	142	0.2
1	chr5	143	0
1	chr5	144	0.4
1	chr5	145	0.3
1	chr5	146	0.8
1	chr5	147	0.1
1	chr5	148	0.5
1	chr5	149	0.6
1	chr5	150	0.4
1	chr5	151	0
1	chr5	152	0
1	chr5	153	0.4
1	chr5	154	0.2
1	chr5	155	0
1	chr5	156	0.2
1	chr5	157	0.4
1	chr5	158	0.6
1	chr5	159	0.2
1	chr5	160	0
1	chr5	161	0.8
1	chr5	162	0.3
1	chr5	163	0.4
1	chr5	164	1
1	chr5	165	0.1
1	chr5	166	0.6
1	chr5	167	0.6
1	chr5	168	0
1	chr5	169	0.9
1	chr5	170	0.8
1	chr5	171	0.8
1	chr5	171	0.5
1	chr6	1	0.2
1	chr6	2	0.6
1	chr6	3	0.2
1	chr6	4	0.7
1	chr6	5	0.2
1	chr6	6	0.8
1	chr6	7	1
1	chr6	8	1
1	chr6	9	0.4
1	chr6	10	0.2
1	chr6	11	0.6
1	chr6	12	0.2
1	chr6	13	0.4
1	chr6	14	0.8
1	chr6	15	0.2
1	chr6	16	0.7
1	chr6	17	0.2
1	chr6	18	0
1	chr6	19	0.5
1	chr6	20	0.1
1	chr6	21	0.2
1	chr6	22	0.1
1	chr6	23	0
1	chr6	24	0
1	chr6	25	0.3
1	chr6	26	0.4
1	chr6	27	0.8
1	chr6	28	0.4
1	chr6	29	0.2
1	chr6	30	0
1	chr6	31	0.6
1	chr6	32	0.8
1	chr6	33	0
1	chr6	34	0.4
1	chr6	35	0.4
1	chr6	36	0
1	chr6	37	0
1	chr6	38	0.2
1	chr6	39	0.1
1	chr6	40	0
1	chr6	41	0.2
1	chr6	42	0
1	chr6	43	0.4
1	chr6	44	0
1	chr6	45	0.4
1	chr6	46	0.2
1	chr6	47	0.2
1	chr6	48	0.6
1	chr6	49	0.6
1	chr6	50	0.2
1	chr6	51	0
1	chr6	52	0.4
1	chr6	53	0.8
1	chr6	54	0.2
1	chr6	55	0
1	chr6	56	0
1	chr6	57	0.3
1	chr6	58	0.7
1	chr6	59	0.1
1	chr6	60	0.5
1	chr6	61	0.8
1	chr6	62	0.6
1	chr6	63	0.5
1	chr6	64	0.6
1	chr6	65	0.2
1	chr6	66	0.8
1	chr6	67	0.2
1	chr6	68	1
1	chr6	69	1
1	chr6	70	0.9
1	chr6	71	0.4
1	chr6	72	1
1	chr6	73	1
1	chr6	74	0.9
1	chr6	75	0.9
1	chr6	76	0.7
1	chr6	77	0.4
1	chr6	78	0.9
1	chr6	79	0.8
1	chr6	80	1
1	chr6	81	0.9
1	chr6	82	1
1	chr6	83	1
1	chr6	84	0.9
1	chr6	85	0.6
1	chr6	86	0.8
1	chr6	87	0.8
1	chr6	88	1
1	chr6	89	1
1	chr6	90	1
1	chr6	91	0.6
1	chr6	92	0
1	chr6	93	1
1	chr6	94	1
1	chr6	95	0.8
1	chr6	96	1
1	chr6	97	0.8
1	chr6	98	0.8
1	chr6	99	0.6
1	chr6	100	0.4
1	chr6	101	0.6
1	chr6	102	0.4
1	chr6	103	0.4
1	chr6	104	0.6
1	chr6	105	1
1	chr6	106	1
1	chr6	107	1
1	chr6	108	1
1	chr6	109	0.6
1	chr6	110	0.4
1	chr6	111	0.2
1	chr6	112	1
1	chr6	113	0.7
1	chr6	114	0.8
1	chr6	115	0.8
1	chr6	116	0.7
1	chr6	117	0.4
1	chr6	118	0.6
1	chr6	119	0.8
1	chr6	120	0.3
1	chr6	121	0.9
1	chr6	122	1
1	chr6	123	0.4
1	chr6	123	0.5
1	chr7	1	1
1	chr7	2	0.2
1	chr7	3	0.6
1	chr7	4	1
1	chr7	5	0.4
1	chr7	6	0.4
1	chr7	7	0.8
1	chr7	8	0.8
1	chr7	9	0.8
1	chr7	10	0.6
1	chr7	11	0.2
1	chr7	12	0.5
1	chr7	13	0.8
1	chr7	14	0
1	chr7	15	0
1	chr7	16	0.6
1	chr7	17	0.2
1	chr7	18	1
1	chr7	19	1
1	chr7	20	0.6
1	chr7	21	0.4
1	chr7	22	0.2
1	chr7	23	0
1	chr7	24	0
1	chr7	25	0.2
1	chr7	26	0.1
1	chr7	27	0.5
1	chr7	28	0
1	chr7	29	0.4
1	chr7	30	0.6
1	chr7	31	0.2
1	chr7	32	0.8
1	chr7	33	0
1	chr7	34	0
1	chr7	35	0
1	chr7	36	0
1	chr7	37	0.6
1	chr7	38	0.2
1	chr7	39	0
1	chr7	40	0
1	chr7	41	0
1	chr7	42	0
1	chr7	43	0
1	chr7	44	0
1	chr7	45	0
1	chr7	46	0.2
1	chr7	47	0.9
1	chr7	48	0.6
1	chr7	49	0
1	chr7	50	0.4
1	chr7	51	0.6
1	chr7	52	1
1	chr7	53	0.2
1	chr7	54	0
1	chr7	55	0.3
1	chr7	56	1
1	chr7	57	0.8
1	chr7	58	0.2
1	chr7	59	0
1	chr7	60	1
1	chr7	61	0.8
1	chr7	62	0.2
1	chr7	63	0.2
1	chr7	64	0.3
1	chr7	65	0.2
1	chr7	66	0.2
1	chr7	67	0.4
1	chr7	68	0.6
1	chr7	69	0.2
1	chr7	70	0.5
1	chr7	71	1
1	chr7	72	1
1	chr7	73	1
1	chr7	74	0.6
1	chr7	75	0.8
1	chr7	76	1
1	chr7	77	1
1	chr7	78	1
1	chr7	79	1
1	chr7	80	0.8
1	chr7	81	1
1	chr7	82	1
1	chr7	83	0.7
1	chr7	84	0.8
1	chr7	85	0.6
1	chr7	86	1
1	chr7	87	0.2
1	chr7	88	0.1
1	chr7	89	0.2
1	chr7	90	0.8
1	chr7	91	0.4
1	chr7	92	0.4
1	chr7	93	0.2
1	chr7	94	0.9
1	chr7	95	0.8
1	chr7	96	1
1	chr7	97	1
1	chr7	98	0.9
1	chr7	99	1
1	chr7	100	0.6
1	chr7	101	0.3
1	chr7	102	0.4
1	chr7	103	0
1	chr7	104	0.7
1	chr7	105	0.6
1	chr7	106	0.4
1	chr7	107	0.2
1	chr7	108	0.4
1	chr7	109	0.9
1	chr7	110	0.4
1	chr7	111	0.4
1	chr7	112	0.4
1	chr7	113	0.8
1	chr7	114	0.6
1	chr7	115	0.8
1	chr7	116	0.8
1	chr7	117	0.7
1	chr7	118	0.8
1	chr7	118	0.833333333333333
1	chr8	1	0.9
1	chr8	2	0.4
1	chr8	3	0.6
1	chr8	4	0
1	chr8	5	0.5
1	chr8	6	0.7
1	chr8	7	0.6
1	chr8	8	0.9
1	chr8	9	0.3
1	chr8	10	0.4
1	chr8	11	0
1	chr8	12	0.6
1	chr8	13	0.9
1	chr8	14	0.4
1	chr8	15	0.7
1	chr8	16	0.3
1	chr8	17	0.7
1	chr8	18	0.4
1	chr8	19	1
1	chr8	20	0
1	chr8	21	0.6
1	chr8	22	0.6
1	chr8	23	0.6
1	chr8	24	0.5
1	chr8	25	0.4
1	chr8	26	0.2
1	chr8	27	0
1	chr8	28	0.4
1	chr8	29	0.6
1	chr8	30	0.2
1	chr8	31	0.2
1	chr8	32	0.6
1	chr8	33	0.6
1	chr8	34	0.4
1	chr8	35	0.2
1	chr8	36	0.4
1	chr8	37	0.5
1	chr8	38	0.2
1	chr8	39	0.1
1	chr8	40	0
1	chr8	41	0.4
1	chr8	42	0
1	chr8	43	0
1	chr8	44	0
1	chr8	45	0
1	chr8	46	0
1	chr8	47	0
1	chr8	48	0
1	chr8	49	0
1	chr8	50	0.4
1	chr8	51	0.6
1	chr8	52	0.8
1	chr8	53	0.2
1	chr8	54	0
1	chr8	55	0
1	chr8	56	0.8
1	chr8	57	1
1	chr8	58	1
1	chr8	59	0.4
1	chr8	60	1
1	chr8	61	0.9
1	chr8	62	0.8
1	chr8	63	1
1	chr8	64	0.4
1	chr8	65	1
1	chr8	66	0.9
1	chr8	67	1
1	chr8	68	0.8
1	chr8	69	0.2
1	chr8	70	0
1	chr8	71	1
1	chr8	72	0.2
1	chr8	73	0.8
1	chr8	74	1
1	chr8	75	0.4
1	chr8	76	1
1	chr8	77	1
1	chr8	78	1
1	chr8	79	0.7
1	chr8	80	1
1	chr8	81	1
1	chr8	82	0.4
1	chr8	83	1
1	chr8	84	1
1	chr8	85	1
1	chr8	86	1
1	chr8	87	0.8
1	chr8	88	1
1	chr8	89	1
1	chr8	90	1
1	chr8	91	0.8
1	chr8	92	0.6
1	chr8	93	0.8
1	chr8	94	0.5
1	chr8	95	0.6
1	chr8	96	0.2
1	chr8	97	0.8
1	chr8	98	0.4
1	chr8	99	0.6
1	chr8	100	0.8
1	chr8	101	0.4
1	chr8	102	0.9
1	chr8	103	0.4
1	chr8	104	0.2
1	chr8	105	0.7
1	chr8	106	0.6
1	chr8	107	0.5
1	chr8	108	0.8
1	chr8	109	0.6
1	chr8	110	0.7
1	chr8	111	0.2
1	chr8	112	0.8
1	chr8	113	1
1	chr8	114	1
1	chr8	115	0.2
1	chr8	116	0.2
1	chr8	117	0.4
